feature,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18
G01,1.4380684532729364,-1.501028218771793,0.7816845643149379,-0.017204187034858688,0.45841208594082117,0.24167506329482236,-1.240685386793333,0.42553231449603257,0.1349272507896525,1.0160574364810937,0.627732940600845,1.3022624021839246,0.9291262202477633,0.6489442214086665,0.10968433424854984,1.0690414453963082,0.8223086870666413,0.730131947785895
G02,0.6850043013933484,0.9387720908563941,-0.44839171131685024,-0.16185636766909095,0.084477123081269,-0.10823146616809987,0.4615603960937891,-0.1251018707451999,-1.0476442214837465,1.058842142843072,1.825077569963129,1.385914402603411,1.9278010507950396,1.8605260775954586,1.338888239888555,1.1740048581651479,0.3172467632919397,1.909391356126501
G03,-1.453395683791271,-0.08503250052786554,-0.8158015298303765,-0.40584801066810794,-0.008452764574305835,1.6858467800488133,-0.44629671710335395,0.03572487585591167,-0.9477777996805518,0.40033582600706663,0.7564187687674616,1.8053201966396712,0.546392339020534,0.20025702469188333,0.5386193539044031,1.8854543055202253,2.4101028048711273,0.8129344944663963
G04,-0.12651511383156122,-0.4014063780129177,-0.565218831278624,0.06864092769446731,-1.0658729435979506,-0.1090211779037263,-0.032977901934731456,-0.7271516573739091,-0.7936975994226547,0.0731817165841524,2.5,0.028811210215442973,0.9825223512291639,0.9202802837814477,1.5719744250366718,1.1830403549416741,1.0956457833808606,-0.4416784226704107
G05,-0.7686614512160419,0.5696535806283936,-0.40131751543687855,1.459494174013617,-0.7922816357368935,0.9561169708230578,-0.47193182771092845,0.29132725381276975,0.823494558903374,0.3111563819378462,1.0382433161864857,0.41694123668933514,0.4953509923538273,1.5653605945553002,0.9808858378814053,1.1201420756738194,1.513227809396935,0.49810683597140315
G06,-0.6356446746878748,0.8593648765983724,-0.8499418240577272,0.5381508145854711,0.08840805742971075,0.6902999633098598,-1.899596975109466,0.8813696108903326,-0.7119694073628912,-0.017312795527745006,0.5837961932526152,-0.13720562830483685,1.0523830289691267,0.985945044460111,0.5413564922384921,2.271833540694164,0.8786028135949816,0.5520037728790246
G07,-0.7117105907712038,-0.03912799686390406,0.46285735340543754,1.8600183671355488,-0.24928826621404282,0.8936952610095131,0.392279620297932,0.8622363512046037,0.693831704826536,-0.6943254532407573,-1.5302650421138706,-0.8961862570197474,-0.5954081446296011,-0.5448064632820104,-1.494200829474369,-0.4535180786593653,-0.5341396442012474,-0.962336495081363
G08,0.20025390272019472,0.6869333729963636,-0.7661621031034302,-0.11629543953278323,-1.1527999939443094,-0.19676570025160087,0.2261305220805196,0.06493524937115905,-1.0121279881680258,-1.1805599181988216,-1.0433178970386567,-0.20431593597736908,-0.963399456177232,-2.0184731925437536,0.5169056332541595,0.17363772525849486,-1.1640030008783422,-0.012204846372722233
G09,-0.4002980521763513,-0.0901317935396062,-0.32284344071995746,1.0718197618783902,0.6254183801291111,0.18665727991402087,-0.9493989740251778,-2.071047636145238,0.5577027974532701,0.22200545422389806,-1.2331661571560117,0.04360754891393115,-0.5239137747115657,-1.2121437764370468,-1.433808872217973,-0.134706314871488,-1.1740312928134635,0.3315315895400446
G10,0.660325900074858,-0.06573696651835705,0.048209770236399004,0.3876360218524505,-1.0792562290196397,1.0194632594139885,1.6526353262848745,0.4791691773736916,1.015270699010392,0.19828656233914477,-1.4331181312075953,0.9849285150387719,-1.2661495364905484,-1.5221781566244843,-0.486113854093635,0.05960307606000026,0.4808111665346342,-0.9329245622886172
G11,-0.815682773596411,0.2134490287758188,-0.18176202942378766,-0.9727047285001995,-1.3574978841887773,0.41657717794912874,0.09218738075578098,0.47219433334693733,0.09807137789697498,-0.27394060985298097,-0.7873528749865373,-0.17108815195640137,0.5842366934525034,0.4382445365022358,-0.40176527222322617,-2.2024340662857895,-0.3062070275699466,-1.3214614613573181
G12,-1.3300919087056573,-1.6020182717555347,0.6313646804277853,1.7725016237119133,0.11504423756204697,-0.11896784359237703,-0.4502028970601536,0.4131806125477351,0.3527267446215798,0.5726893392786762,1.1221844506374306,0.054017103932943705,0.3770007504490305,-0.274025328327997,-0.07455345952959266,0.13843691328513444,-0.28818723826596115,0.8255748547094937
G13,-1.022122925403917,0.4389436724126674,-1.1743044635941746,-0.036215963502389786,-0.7618809656405854,0.7893121077440144,0.7771702052462512,0.33621101183827995,-0.5697506774717394,-1.75606351180839,-1.0758805383775516,0.6538802100871415,0.5525954252803651,-1.0021217883114784,0.14802084792170894,0.8671160348857573,0.2564596956954388,0.41739527201617704
G14,-1.1744017602429002,-0.6511764094648319,0.9172709179666587,-0.8392393235414968,0.018346152032853322,0.78245197205138,0.8994910750122898,0.783884495635101,0.6442295634592503,0.5116627779919027,0.20062940827766484,-0.2277383151173401,0.7384127492916454,-0.038544091711013896,1.3014105016266715,-0.8137836421476686,0.43156708280681855,0.12138069404821242
G15,-1.1830020056602093,0.1991187011407643,-1.126017161050114,-1.1993447298166358,0.5627378913273393,-0.4808840579040603,-0.36341162625852413,-0.758536794934098,1.2201567832950615,-0.2628238460140279,-0.6588953320325673,-0.17165314177791846,0.5538508231507152,-1.6185032249422941,1.581657193869102,-0.5973796281925055,0.2435673390592806,0.10708920391957867
G16,-0.40522256759725506,-0.1719677151427167,0.2747524531517468,-1.2575002685148022,0.15626118355059204,0.44062090358240724,-0.5015254226915434,-0.9487523618897229,-0.5278055070630597,-0.11489610295835534,-0.13078026025267991,-1.3382487026901135,0.35701271755338543,0.5702488346727311,0.3466818058269342,0.4559088967836797,-0.842768348468274,-1.8394499264556226
